Swarm ID,Start Time,End Time,Duration,Origin Latitude,Origin Longitude,Centre Latitude,Centre Longitude,Number of Earthquakes,Magnitudes,Time Intervals (h),Distance Intervals (km),Minimum Time Limit (h),Minimum Distance Limit (km),Average Time Interval (h),Average Distance Interval (km)
0,2000-02-20 07:26:30.620000+00:00,2000-02-20 10:42:37.590000+00:00,0 days 03:16:06.970000,55.954,-34.6,55.866,-34.647999999999996,6,"[4.5, 4.4, 4.4, 4.5, 3.2, 4.9]","[0.32811111111111113, 1.9888222222222223, 0.25769722222222224, 0.24323333333333333, 0.4507388888888889]","[19.715011263529558, 8.432736011749798, 13.090318573115601, 8.93359989722171, 7.178882024144115]",1.9888222222222223,19.715011263529558,0.6537205555555556,11.470109553952158
1,2000-04-20 07:53:46.670000+00:00,2000-04-20 16:07:29.240000+00:00,0 days 08:13:42.570000,57.445,-32.919,57.582499999999996,-33.010999999999996,3,"[3.9, 4.7, 4.6]","[1.2505222222222223, 6.977969444444444]","[11.529286379900116, 22.03106505727212]",6.977969444444444,22.03106505727212,4.114245833333333,16.78017571858612
2,2000-08-08 17:57:41.880000+00:00,2000-08-09 00:22:14.540000+00:00,0 days 06:24:32.660000,62.43,-25.873,62.474000000000004,-25.6485,3,"[5.4, 3.9, 4.0]","[4.874258333333334, 1.534813888888889]","[25.15152985270438, 8.917422772289374]",4.874258333333334,25.15152985270438,3.2045361111111115,17.034476312496878
3,2000-08-09 02:17:45.630000+00:00,2000-08-09 02:21:39.420000+00:00,0 days 00:03:53.790000,57.049,-33.742,57.061499999999995,-33.665,2,"[4.6, 4.3]",[0.06494166666666666],[9.749422097564556],0.06494166666666666,9.749422097564556,0.06494166666666666,9.749422097564556
4,2000-12-21 05:14:48.630000+00:00,2000-12-21 10:51:26.010000+00:00,0 days 05:36:37.380000,58.37,-32.17,58.239999999999995,-32.201,5,"[4.7, 4.8, 4.1, 4.5, 4.5]","[0.07465277777777778, 1.4683666666666666, 3.160702777777778, 0.9066611111111111]","[11.445836275587999, 18.04640193096414, 5.242854571192363, 4.725611215944689]",3.160702777777778,18.04640193096414,1.4025958333333333,9.865175998422297
5,2001-01-23 04:07:39.830000+00:00,2001-01-23 18:03:03.250000+00:00,0 days 13:55:23.420000,53.537,-35.231,53.415,-35.238,5,"[3.3, 5.0, 5.3, 3.2, 4.6]","[0.08581111111111112, 0.01907777777777778, 11.990555555555556, 1.8277277777777776]","[18.617971333478152, 9.253409534261621, 14.241769662799724, 12.143722109830808]",11.990555555555556,18.617971333478152,3.4807930555555555,13.564218160092576
6,2001-01-29 12:59:35.430000+00:00,2001-01-31 00:03:46.840000+00:00,1 days 11:04:11.410000,53.882,-35.473,54.0045,-35.310500000000005,2,"[4.5, 3.7]",[35.069836111111115],[34.60841501983102],35.069836111111115,34.60841501983102,35.069836111111115,34.60841501983102
7,2001-02-04 03:15:29.880000+00:00,2001-02-04 04:13:00.850000+00:00,0 days 00:57:30.970000,57.144,-33.092,57.2385,-33.066500000000005,4,"[3.4, 3.2, 4.4, 4.7]","[0.5440722222222223, 0.3075583333333333, 0.10697222222222223]","[27.418294575589396, 11.300716446541282, 10.373097889081551]",0.5440722222222223,27.418294575589396,0.3195342592592593,16.36403630373741
8,2001-03-29 12:53:18.080000+00:00,2001-03-30 18:27:45.370000+00:00,1 days 05:34:27.290000,55.527,-35.231,55.443,-35.177,3,"[4.2, 4.4, 4.3]","[7.431558333333333, 22.142688888888888]","[11.850682063944372, 9.622694266149816]",22.142688888888888,11.850682063944372,14.78712361111111,10.736688165047095
9,2001-04-06 09:26:44.030000+00:00,2001-04-06 11:31:59.180000+00:00,0 days 02:05:15.150000,53.706,-35.134,53.694500000000005,-35.262,6,"[4.2, 5.2, 5.2, 4.5, 4.6, 4.4]","[0.10696944444444444, 0.418, 0.8598388888888889, 0.05628611111111111, 0.6464472222222223]","[10.36105040919239, 4.950197184277524, 7.3742816712026595, 3.000387099683837, 8.951692425337429]",0.8598388888888889,10.36105040919239,0.4175083333333333,6.927521757938768
